service,category,profile,breached
email,email,john@gmail.com,True
email,email,doe@gmail.com,True
email,email,johndoe@gmail.com,True
email,email,doejohn@gmail.com,False
email,email,john@yahoo.com,True
email,email,doe@yahoo.com,False
email,email,johndoe@yahoo.com,True
email,email,doejohn@yahoo.com,False
email,email,john@hotmail.com,True
email,email,doe@hotmail.com,False
email,email,johndoe@hotmail.com,True
email,email,doejohn@hotmail.com,False
domain,domain,http://john.org,False
domain,domain,http://doe.org,False
domain,domain,http://johndoe.org,False
domain,domain,http://doejohn.org,False
domain,domain,http://john.com,False
domain,domain,http://doe.com,False
domain,domain,http://johndoe.com,False
domain,domain,http://doejohn.com,False
domain,domain,http://john.net,False
